Stock|Date|BuyPrice|sl|tsl|target|high|Points|Points %|status|tslStatus|triggerTime|exitTime|pattern|strategy
RAIN|2026-01-29T09:15:00+05:30|147.67|143.5|159.63|162.437|163.8|14.767|10|Profit|Not hit|2026-01-29T09:48:00+05:30|2026-01-29T12:54:00+05:30|No15mData|HCB Buy
KIOCL|2025-10-03T09:15:00+05:30|451.1|438.35|484.05|496.21|496.8|45.1100000000001|10|Profit|Not hit|2025-10-03T09:41:00+05:30|2025-10-03T10:09:00+05:30|BullKicker,RisingWindow,MorningStar|HCB Buy
ANGELONE|2026-01-14T09:15:00+05:30|250.06|243.5|268.88|275.066|275.44|25.006|10|Profit|Not hit|2026-01-14T09:30:00+05:30|2026-01-16T14:45:00+05:30|No15mData|HCB Buy
RAJOOENG|2026-01-02T15:15:00+05:30|65.25|63.81|70.96|71.775|72.4|6.52500000000001|10|Profit|Not hit|2026-01-05T09:15:00+05:30|2026-01-05T09:20:00+05:30|StrongBullish|Hourly Support Buy
RMDRIP|2026-02-09T09:15:00+05:30|112.49|111.85|123.16|123.739|123.8|11.249|10|Profit|Not hit|2026-02-09T09:45:00+05:30|2026-02-25T09:15:00+05:30|BullKicker,RisingWindow|HCB Buy
SCI|2025-10-24T09:15:00+05:30|253.9|247.12|273.72|279.29|280.5|25.39|10|Profit|Not hit|2025-10-24T09:36:00+05:30|2025-10-24T15:24:00+05:30|RisingWindow,BullMatHold,ThreeOutsideUp|HCB Buy
MOSILVER|2025-12-23T09:15:00+05:30|209|207.3|233.3|229.9|235|20.9|10|Profit|Not hit|2025-12-23T10:11:00+05:30|2025-12-23T15:04:00+05:30|SpinningTop,BullKicker,RisingWindow|HCB Buy
SILVER|2026-01-23T15:15:00+05:30|308.53|303|341.46|339.383|346.99|30.853|10|Profit|Not hit|2026-01-27T09:15:00+05:30|2026-01-28T09:15:00+05:30|StrongBullish|Hourly Support Buy
INDOTHAI|2025-10-01T09:15:00+05:30|289.5|284|312.4|318.45|317.9|22.9|7.91018998272884|Profit|SL hit|2025-10-01T10:00:00+05:30|2025-10-06T09:16:00+05:30|No15mData|HCB Buy
ASIANPAINT|2025-11-10T09:15:00+05:30|2660|2611.1|2848.2|2926|2897.1|188.2|7.07518796992481|Profit|SL hit|2025-11-10T09:53:00+05:30|2025-11-13T09:33:00+05:30|StrongBullish,BullKicker,RisingWindow,MorningStar|HCB Buy
ARIHANTCAP|2026-02-23T09:15:00+05:30|80.15|78.1|85.7|88.165|87.75|5.54999999999998|6.92451653150341|Profit|SL hit|2026-02-23T10:01:00+05:30|2026-02-23T10:46:00+05:30|Doji,SpinningTop,LongLeggedDoji,BullKicker,RisingWindow|HCB Buy
GMDCLTD|2025-12-26T09:15:00+05:30|551|544.15|589|606.1|595.85|38|6.89655172413793|Profit|SL hit|2025-12-26T09:30:00+05:30|2025-12-26T12:04:00+05:30|VeryBullish,RisingWindow,ThreeInsideUp|HCB Buy
J&KBANK|2026-02-23T09:15:00+05:30|106.12|104|113.38|116.732|115.5|7.25999999999999|6.8413117225782|Profit|SL hit|2026-02-23T09:30:00+05:30|2026-02-24T10:18:00+05:30|BullBeltHold,StrongBullish,BullKicker,RisingWindow|HCB Buy
MOSCHIP|2026-02-23T09:15:00+05:30|195.89|191.75|209.26|215.479|213.4|13.37|6.8252590739701|Profit|SL hit|2026-02-23T09:30:00+05:30|2026-02-23T09:57:00+05:30|BullEngulf|HCB Buy
SPARC|2026-02-01T09:15:00+05:30|129.98|126.95|138.82|142.978|141.85|8.84|6.80104631481767|Profit|SL hit|2026-02-01T09:48:00+05:30|2026-02-01T10:48:00+05:30|StrongBullish,RisingWindow|HCB Buy
SONACOMS|2025-10-09T09:15:00+05:30|413.55|405.45|440.4|454.905|448.5|26.85|6.49256438157417|Profit|SL hit|2025-10-09T09:49:00+05:30|2025-10-10T10:42:00+05:30|No15mData|HCB Buy
TITAGARH|2025-12-22T09:15:00+05:30|793.2|777.55|843.75|872.52|859.4|50.5499999999998|6.37291981845686|Profit|SL hit|2025-12-22T09:35:00+05:30|2025-12-23T14:26:00+05:30|BullKicker,RisingWindow|HCB Buy
RVNL|2025-12-19T09:15:00+05:30|311.2|306.65|330.95|342.32|335.5|19.75|6.34640102827764|Profit|SL hit|2025-12-19T09:30:00+05:30|2025-12-22T10:39:00+05:30|-|HCB Buy
GPIL|2025-12-22T09:15:00+05:30|240|237|255.2|264|258.2|15.2|6.33333333333333|Profit|SL hit|2025-12-22T09:31:00+05:30|2025-12-23T14:05:00+05:30|-|HCB Buy
