date,symbol
2024-03-27 09:15 am,  NHPC
2024-03-27 09:15 am,  RELIANCE
2025-01-01 09:15 am,  PREMIERENE
2025-01-02 09:15 am,  ASHOKLEY
2025-01-02 09:15 am,  BAJFINANCE
2025-01-02 09:15 am,  BIOCON
2025-01-02 09:15 am,  KOTAKBANK
2025-01-03 09:15 am,  ADANIENSOL
2025-01-03 09:15 am,  ADANIENT
2025-01-03 09:15 am,  ADANIPORTS
2025-01-03 09:15 am,  AUBANK
2025-01-03 09:15 am,  BLUESTARCO
2025-01-03 09:15 am,  BSE
2025-01-03 09:15 am,  CAMS
2025-01-03 09:15 am,  CHOLAFIN
2025-01-03 09:15 am,  DIVISLAB
2025-01-03 09:15 am,  EICHERMOT
2025-01-03 09:15 am,  HCLTECH
2025-01-03 09:15 am,  LTF
2025-01-03 09:15 am,  NESTLEIND
2025-01-03 09:15 am,  NHPC
2025-01-03 09:15 am,  OIL
2025-01-03 09:15 am,  ONGC
2025-01-03 09:15 am,  PNB
2025-01-03 09:15 am,  PREMIERENE
2025-01-03 09:15 am,  SAMMAANCAP
2025-01-03 09:15 am,  SHRIRAMFIN
2025-01-03 09:15 am,  TMPV
2025-01-06 09:15 am,  BAJFINANCE
2025-01-06 09:15 am,  RBLBANK
2025-01-06 09:15 am,  TITAN
2025-01-07 09:15 am,  GODREJCP
2025-01-07 09:15 am,  ONGC
2025-01-07 09:15 am,  TATACONSUM
2025-01-07 09:15 am,  TITAN
2025-01-08 09:15 am,  ONGC
2025-01-08 09:15 am,  RELIANCE
2025-01-08 09:15 am,  TATATECH
2025-01-09 09:15 am,  KOTAKBANK
2025-01-09 09:15 am,  MANAPPURAM
2025-01-09 09:15 am,  UPL
2025-01-10 09:15 am,  HCLTECH
2025-01-10 09:15 am,  SYNGENE
2025-01-10 09:15 am,  TCS
2025-01-14 09:15 am,  BAJFINANCE
2025-01-14 09:15 am,  BHARTIARTL
2025-01-14 09:15 am,  CHOLAFIN
2025-01-14 09:15 am,  RELIANCE
2025-01-15 09:15 am,  BSE
2025-01-16 09:15 am,  AMBUJACEM
2025-01-16 09:15 am,  AUBANK
2025-01-16 09:15 am,  BSE
2025-01-16 09:15 am,  CONCOR
2025-01-16 09:15 am,  HINDZINC
2025-01-16 09:15 am,  MANAPPURAM
2025-01-16 09:15 am,  NYKAA
2025-01-16 09:15 am,  RBLBANK
2025-01-17 09:15 am,  COALINDIA
2025-01-17 09:15 am,  HINDALCO
2025-01-17 09:15 am,  TMPV
2025-01-17 09:15 am,  VEDL
2025-01-20 09:15 am,  BSE
2025-01-20 09:15 am,  HAL
2025-01-20 09:15 am,  IDFCFIRSTB
2025-01-20 09:15 am,  KOTAKBANK
2025-01-20 09:15 am,  MAZDOCK
2025-01-20 09:15 am,  WIPRO
2025-01-21 09:15 am,  AMBUJACEM
2025-01-21 09:15 am,  BAJAJFINSV
2025-01-21 09:15 am,  BIOCON
2025-01-21 09:15 am,  MANAPPURAM
2025-01-21 09:15 am,  NATIONALUM
2025-01-21 09:15 am,  TECHM
2025-01-21 09:15 am,  UPL
2025-01-21 09:15 am,  VEDL
2025-01-23 09:15 am,  BAJAJFINSV
2025-01-23 09:15 am,  PATANJALI
2025-01-23 09:15 am,  TCS
2025-01-23 09:15 am,  TECHM
2025-01-23 09:15 am,  WIPRO
2025-01-24 09:15 am,  AMBUJACEM
2025-01-24 09:15 am,  BHARTIARTL
2025-01-24 09:15 am,  COALINDIA
2025-01-24 09:15 am,  NTPC
2025-01-24 09:15 am,  NYKAA
2025-01-24 09:15 am,  SAIL
2025-01-27 09:15 am,  BRITANNIA
2025-01-27 09:15 am,  HINDUNILVR
2025-01-29 09:15 am,  BANDHANBNK
2025-01-29 09:15 am,  MAZDOCK
2025-01-29 09:15 am,  RBLBANK
2025-01-29 09:15 am,  SRF
2025-01-29 09:15 am,  WIPRO
2025-01-30 09:15 am,  BAJAJFINSV
2025-01-30 09:15 am,  NTPC
2025-01-30 09:15 am,  RVNL
2025-01-30 09:15 am,  UPL
2025-01-31 09:15 am,  ASHOKLEY
2025-01-31 09:15 am,  BEL
2025-01-31 09:15 am,  CIPLA
2025-01-31 09:15 am,  NBCC
2025-01-31 09:15 am,  NESTLEIND
2025-01-31 09:15 am,  POWERGRID
2025-01-31 09:15 am,  SUZLON
2025-01-31 09:15 am,  TITAN
2025-01-31 09:15 am,  WIPRO
2025-02-03 09:15 am,  INDHOTEL
2025-02-03 09:15 am,  SBICARD
2025-02-04 09:15 am,  ASHOKLEY
2025-02-04 09:15 am,  BAJAJFINSV
2025-02-04 09:15 am,  BANKINDIA
2025-02-04 09:15 am,  BEL
2025-02-04 09:15 am,  CHOLAFIN
2025-02-04 09:15 am,  DLF
2025-02-04 09:15 am,  GMRAIRPORT
2025-02-04 09:15 am,  GODREJPROP
2025-02-04 09:15 am,  HDFCBANK
2025-02-04 09:15 am,  ICICIBANK
2025-02-04 09:15 am,  INDHOTEL
2025-02-04 09:15 am,  KPITTECH
2025-02-04 09:15 am,  LAURUSLABS
2025-02-04 09:15 am,  LTF
2025-02-04 09:15 am,  MANAPPURAM
2025-02-04 09:15 am,  MAXHEALTH
2025-02-04 09:15 am,  PNB
2025-02-04 09:15 am,  SBIN
2025-02-04 09:15 am,  TATASTEEL
2025-02-04 09:15 am,  TVSMOTOR
2025-02-05 09:15 am,  ADANIPORTS
2025-02-05 09:15 am,  ASHOKLEY
2025-02-05 09:15 am,  BAJFINANCE
2025-02-05 09:15 am,  BANDHANBNK
2025-02-05 09:15 am,  BANKINDIA
2025-02-05 09:15 am,  BEL
2025-02-05 09:15 am,  BHEL
2025-02-05 09:15 am,  BSE
2025-02-05 09:15 am,  CANBK
2025-02-05 09:15 am,  COALINDIA
2025-02-05 09:15 am,  DLF
2025-02-05 09:15 am,  GMRAIRPORT
2025-02-05 09:15 am,  IEX
2025-02-05 09:15 am,  INDIANB
2025-02-05 09:15 am,  LAURUSLABS
2025-02-05 09:15 am,  LICHSGFIN
2025-02-05 09:15 am,  LTF
2025-02-05 09:15 am,  MAXHEALTH
2025-02-05 09:15 am,  NATIONALUM
2025-02-05 09:15 am,  NBCC
2025-02-05 09:15 am,  NHPC
2025-02-05 09:15 am,  NTPC
2025-02-05 09:15 am,  ONGC
2025-02-05 09:15 am,  SAIL
2025-02-05 09:15 am,  SHRIRAMFIN
2025-02-05 09:15 am,  UNIONBANK
2025-02-05 09:15 am,  VBL
2025-02-05 09:15 am,  WIPRO
2025-02-06 09:15 am,  BIOCON
2025-02-06 09:15 am,  IDFCFIRSTB
2025-02-06 09:15 am,  IEX
2025-02-06 09:15 am,  LUPIN
2025-02-06 09:15 am,  NAUKRI
2025-02-06 09:15 am,  NHPC
2025-02-06 09:15 am,  ZYDUSLIFE
2025-02-07 09:15 am,  BHARTIARTL
2025-02-07 09:15 am,  HDFCBANK
2025-02-07 09:15 am,  NMDC
2025-02-10 09:15 am,  WIPRO
2025-02-13 09:15 am,  ADANIENSOL
2025-02-13 09:15 am,  BAJAJFINSV
2025-02-13 09:15 am,  CHOLAFIN
2025-02-13 09:15 am,  CIPLA
2025-02-13 09:15 am,  DIVISLAB
2025-02-13 09:15 am,  DRREDDY
2025-02-13 09:15 am,  KOTAKBANK
2025-02-13 09:15 am,  LAURUSLABS
2025-02-13 09:15 am,  SBICARD
2025-02-18 09:15 am,  TECHM
2025-02-19 09:15 am,  HINDALCO
2025-02-19 09:15 am,  KOTAKBANK
2025-02-19 09:15 am,  TATASTEEL
2025-02-19 09:15 am,  UPL
2025-02-20 09:15 am,  CIPLA
2025-02-20 09:15 am,  HINDALCO
2025-02-20 09:15 am,  NMDC
2025-02-20 09:15 am,  NTPC
2025-02-20 09:15 am,  PATANJALI
2025-02-20 09:15 am,  SHRIRAMFIN
2025-02-21 09:15 am,  ANGELONE
2025-02-21 09:15 am,  ASHOKLEY
2025-02-21 09:15 am,  BANKBARODA
2025-02-21 09:15 am,  BSE
2025-02-21 09:15 am,  CDSL
2025-02-21 09:15 am,  ETERNAL
2025-02-21 09:15 am,  EXIDEIND
2025-02-21 09:15 am,  FEDERALBNK
2025-02-21 09:15 am,  HINDALCO
2025-02-21 09:15 am,  IDFCFIRSTB
2025-02-21 09:15 am,  INDHOTEL
2025-02-21 09:15 am,  MCX
2025-02-21 09:15 am,  NATIONALUM
2025-02-21 09:15 am,  NAUKRI
2025-02-21 09:15 am,  NHPC
2025-02-21 09:15 am,  NMDC
2025-02-21 09:15 am,  NTPC
2025-02-21 09:15 am,  PATANJALI
2025-02-21 09:15 am,  SAIL
