date,symbol
16-04-2019,63MOONS
09-04-2021,63MOONS
09-12-2021,63MOONS
19-04-2024,AAATECH
07-10-2025,AAATECH
02-01-2024,AAREYDRUGS
25-07-2023,AARTIDRUGS
19-01-2024,AARTIIND
07-02-2025,AARTIPHARM
22-09-2025,ADANIENSOL
21-05-2019,ADANIENT
17-09-2024,ADANIGREEN
22-09-2025,ADANIGREEN
21-05-2019,ADANIPORTS
06-11-2018,ADFFOODS
04-02-2026,ADFFOODS
02-07-2024,ADSL
17-01-2025,AEROFLEX
18-01-2022,AGI
08-05-2023,AGI
18-11-2025,AHLUCONT
09-08-2024,AIIL
07-02-2020,AJANTPHARM
13-01-2022,AJMERA
05-10-2021,ALKALI
08-05-2024,ALLDIGI
05-12-2023,AMBUJACEM
29-06-2021,ANDHRSUGAR
16-10-2024,ANGELONE
25-01-2023,ANTELOPUS
02-08-2024,ANTELOPUS
06-10-2023,APOLLO
22-01-2021,APOLLOTYRE
26-05-2023,APTECHT
26-06-2024,ARE&M
06-08-2024,ARROWGREEN
15-04-2024,ASHIANA
08-03-2023,ASIANENE
17-02-2021,ATGL
29-11-2024,ATGL
22-09-2025,ATGL
06-10-2025,ATLANTAA
07-10-2025,ATLANTAA
11-10-2022,ATULAUTO
05-04-2023,ATULAUTO
18-07-2023,ATULAUTO
05-09-2025,ATULAUTO
12-03-2021,AURIONPRO
08-11-2024,AVALON
07-06-2024,AVANTIFEED
04-02-2026,AVANTIFEED
30-05-2022,AWHCL
24-05-2023,AWL
31-01-2019,AXISBANK
24-01-2020,AXISCADES
05-11-2024,AZAD
08-02-2021,BAJAJELEC
08-02-2024,BALAJITELE
12-02-2024,BALAXI
17-08-2021,BANCOINDIA
30-05-2022,BANCOINDIA
17-08-2022,BANCOINDIA
09-08-2023,BANCOINDIA
18-11-2024,BANCOINDIA
19-11-2024,BANCOINDIA
20-05-2025,BANCOINDIA
21-05-2025,BANCOINDIA
17-11-2023,BANG
05-12-2024,BANG
17-02-2021,BANKINDIA
06-07-2020,BDL
15-04-2020,BEML
28-10-2025,BHAGYANGR
28-10-2025,BHARATWIRE
11-01-2022,BIOFILCHEM
12-01-2022,BIOFILCHEM
08-08-2023,BIRLACABLE
27-05-2020,BIRLACORPN
10-12-2024,BIRLAMONEY
01-09-2022,BLS
18-12-2024,BLUEJET
02-11-2018,BOMDYEING
08-06-2020,BOMDYEING
24-01-2024,BORORENEW
30-01-2024,BPL
04-01-2024,BRNL
11-03-2022,BSE
25-10-2023,BSE
09-09-2025,BVCL
12-12-2019,CAMLINFINE
04-02-2026,CAMLINFINE
05-11-2020,CARERATING
25-10-2024,CARERATING
07-06-2021,CASTROLIND
05-02-2025,CASTROLIND
07-05-2025,CCL
11-03-2022,CDSL
03-06-2020,CHALET
20-06-2024,CHAMBLFERT
01-01-2021,CHEMCON
08-06-2022,CHENNPETRO
27-04-2023,CIEINDIA
23-10-2020,COCHINSHIP
15-05-2025,COCHINSHIP
23-06-2020,COHANCE
19-02-2024,CONFIPET
28-06-2024,CSBBANK
03-04-2025,CSBBANK
18-09-2018,DALMIASUG
30-08-2021,DATAMATICS
03-05-2023,DATAMATICS
10-04-2023,DBREALTY
18-11-2024,DCAL
03-08-2022,DEEPAKFERT
17-10-2018,DELTACORP
15-03-2021,DELTACORP
27-05-2025,DIACABS
26-07-2022,DLINKINDIA
16-07-2019,DMART
24-07-2023,DODLA
31-01-2024,DOLATALGO
17-12-2024,DONEAR
04-11-2025,DREDGECORP
19-04-2024,DSSL
08-06-2021,DWARKESH
21-08-2025,DYCL
09-02-2026,EBGNG
14-08-2020,ECLERX
13-11-2019,EDELWEISS
28-08-2025,EDELWEISS
25-06-2025,EIEL
18-03-2021,EMAMIPAP
26-08-2025,EMAMIPAP
28-01-2022,EMKAY
07-01-2026,EMMVEE
16-02-2026,ENGINERSIN
24-10-2025,EPACKPEB
30-05-2024,EXICOM
11-01-2021,FACT
18-08-2021,FIEMIND
08-10-2021,FSL
19-02-2021,GAIL
20-12-2024,GARUDA
13-05-2025,GARUDA
12-01-2023,GENCON
23-11-2023,GENESYS
05-07-2023,GENUSPOWER
11-10-2023,GENUSPOWER
08-12-2020,GEOJITFSL
20-10-2025,GFLLIMITED
16-02-2021,GICHSGFIN
18-10-2019,GICRE
19-02-2021,GICRE
22-02-2021,GICRE
27-04-2023,GIPCL
09-08-2023,GLAND
18-11-2019,GLENMARK
15-04-2020,GLENMARK
14-02-2023,GLENMARK
05-05-2020,GMBREW
08-02-2022,GNFC
12-09-2019,GOACARBON
01-04-2024,GOCLCORP
14-08-2019,GODFRYPHLP
28-07-2023,GODFRYPHLP
03-04-2019,GODREJPROP
30-08-2023,GOKEX
20-10-2022,GOKULAGRO
04-03-2026,GOLDADD
04-02-2026,GOLDIAM
10-02-2026,GOLDIAM
07-11-2025,GPPL
29-10-2021,GREENPANEL
12-08-2024,GRMOVER
20-06-2024,GSFC
20-10-2025,GSLSU
28-05-2021,GSPL
03-08-2018,GSS
15-07-2019,GTPL
18-07-2023,GTPL
23-08-2024,GUJAPOLLO
05-03-2024,GULFPETRO
06-07-2020,HAL
06-06-2023,HBLENGINE
31-01-2024,HEMIPROP
11-07-2024,HEMIPROP
02-01-2023,HGINFRA
31-03-2021,HGS
04-02-2026,HIMATSEIDE
29-12-2025,HINDCOPPER
14-12-2020,HINDOILEXP
18-10-2021,HINDZINC
05-12-2023,HINDZINC
20-08-2025,HLEGLAS
22-02-2024,HMVL
26-07-2024,HPAL
08-08-2022,HUBTOWN
19-02-2020,HUHTAMAKI
28-03-2019,ICICIPRULI
11-09-2025,ICIL
09-01-2023,IDBI
05-09-2023,IDBI
13-01-2026,IFCI
07-11-2023,IFGLEXPOR
02-09-2021,INDIACEM
29-06-2021,INDIAGLYCO
23-07-2020,INDIAMART
19-08-2022,INDOAMIN
22-08-2022,INDOAMIN
09-05-2023,INDOSTAR
24-07-2025,INFOBEAN
30-10-2025,INFOBEAN
13-08-2024,INOXWIND
19-09-2025,INTENTECH
16-11-2023,INTLCONV
13-04-2020,IOLCP
30-01-2024,IRB
05-09-2023,IRFC
16-10-2019,ITDC
28-11-2022,ITDC
31-08-2018,ITI
07-07-2020,ITI
07-06-2021,ITI
13-09-2023,ITI
18-02-2022,IVP
18-07-2025,IXIGO
10-02-2022,JAGRAN
07-11-2019,JAICORPLTD
16-09-2020,JBCHEPHARM
04-02-2022,JINDRILL
05-03-2026,JINDRILL
01-11-2022,JINDWORLD
27-12-2023,JKIL
09-09-2019,JKPAPER
12-09-2019,JKPAPER
28-04-2020,JKPAPER
23-10-2020,JKTYRE
22-01-2021,JKTYRE
19-06-2024,JNKINDIA
27-07-2021,JOCIL
02-05-2024,JSFB
07-11-2023,JSWINFRA
25-05-2021,JTEKTINDIA
23-07-2021,JUBLFOOD
26-02-2021,JUSTDIAL
17-01-2023,JUSTDIAL
19-04-2024,JUSTDIAL
23-12-2025,JWL
10-01-2020,KAKATCEM
14-06-2024,KAYA
18-05-2023,KAYNES
09-04-2021,KCP
07-06-2024,KCP
02-05-2024,KFINTECH
04-06-2020,KHADIM
21-06-2021,KHADIM
18-01-2022,KHAICHEM
12-04-2022,KHAICHEM
20-09-2023,KIOCL
18-10-2023,KIOCL
11-12-2023,KIOCL
04-07-2018,KIRIINDUS
09-03-2023,KIRLOSENG
14-08-2023,KIRLOSENG
24-10-2025,KITEX
20-01-2023,KOHINOOR
04-03-2022,KOTHARIPRO
18-07-2024,KPIGREEN
08-05-2025,KPRMILL
09-06-2020,KRBL
13-06-2024,KRITI
31-05-2022,KTKBANK
