Date,Symbol,Strategy
2025-10-15T13:15:00+05:30,CHEMPLASTS,Hourly Support Buy
2025-11-24T09:15:00+05:30,EICHERMOT,HCB Buy
2025-12-11T09:15:00+05:30,EICHERMOT,HCB Buy
2026-02-12T09:15:00+05:30,EICHERMOT,HCB Buy
2026-03-04T09:15:00+05:30,EICHERMOT,HCB Sell
2025-11-13T15:15:00+05:30,EICHERMOT,Hourly Resistence Sell
2026-03-12T15:00:00+05:30,MOVALUE,Hourly Support Buy
2025-12-10T09:15:00+05:30,ZUARI,HCB Buy
2025-11-19T09:15:00+05:30,ONEPOINT,HCB Buy
2025-11-28T09:15:00+05:30,ONEPOINT,HCB Buy
2025-12-09T09:15:00+05:30,ONEPOINT,HCB Sell
2025-11-28T09:15:00+05:30,ONEPOINT,Hourly Support Buy
2025-12-23T11:00:00+05:30,ONEPOINT,Hourly Support Buy
2025-11-27T15:15:00+05:30,ONEPOINT,Hourly Resistence Sell
2025-11-17T09:15:00+05:30,SPIC,HCB Buy
2025-12-23T09:15:00+05:30,SPIC,HCB Buy
2025-12-24T09:15:00+05:30,SPIC,HCB Buy
2026-03-13T09:15:00+05:30,SPIC,HCB Buy
2025-09-17T09:15:00+05:30,SPIC,Hourly Support Buy
2025-10-01T09:15:00+05:30,SPIC,Hourly Support Buy
2025-09-18T09:15:00+05:30,SPIC,Hourly Resistence Sell
2025-12-01T09:15:00+05:30,JSWINFRA,HCB Buy
2025-12-22T09:15:00+05:30,JSWINFRA,HCB Buy
2026-01-22T09:15:00+05:30,JSWINFRA,HCB Buy
2026-02-10T09:15:00+05:30,JSWINFRA,HCB Buy
2026-03-11T09:15:00+05:30,JSWINFRA,HCB Buy
2026-03-13T09:15:00+05:30,JSWINFRA,HCB Buy
2025-09-30T09:15:00+05:30,JSWINFRA,HCB Sell
2025-10-06T09:15:00+05:30,JSWINFRA,HCB Sell
2025-10-07T09:15:00+05:30,JSWINFRA,HCB Sell
2025-10-17T09:15:00+05:30,JSWINFRA,HCB Sell
2025-11-06T09:15:00+05:30,JSWINFRA,HCB Sell
2025-12-09T09:15:00+05:30,JSWINFRA,HCB Sell
2026-01-09T09:15:00+05:30,JSWINFRA,HCB Sell
2026-01-12T09:15:00+05:30,JSWINFRA,HCB Sell
2026-01-16T09:15:00+05:30,JSWINFRA,HCB Sell
2026-01-21T09:15:00+05:30,JSWINFRA,HCB Sell
2026-01-28T09:15:00+05:30,JSWINFRA,HCB Sell
2026-01-29T09:15:00+05:30,JSWINFRA,HCB Sell
2026-02-18T09:15:00+05:30,JSWINFRA,HCB Sell
2026-02-25T09:15:00+05:30,JSWINFRA,HCB Sell
2026-03-16T09:15:00+05:30,JSWINFRA,HCB Sell
2025-09-30T09:15:00+05:30,JSWINFRA,Hourly Resistence Sell
2025-10-03T15:15:00+05:30,JSWINFRA,Hourly Resistence Sell
