date,symbol
25-11-2025 3:00 pm,	CROMPTON
25-11-2025 3:15 pm,	BANDHANBNK
26-11-2025 9:15 am,	IREDA
26-11-2025 9:15 am,	GMRAIRPORT
26-11-2025 9:15 am,	CROMPTON
26-11-2025 9:15 am,	BANDHANBNK
27-11-2025 9:15 am,	HDFCBANK
27-11-2025 9:15 am,	PFC
27-11-2025 1:45 pm,	DELHIVERY
27-11-2025 2:30 pm,	ANGELONE
27-11-2025 3:15 pm,	CHOLAFIN
27-11-2025 3:15 pm,	IDFCFIRSTB
28-11-2025 9:30 am,	BANKBARODA
28-11-2025 3:15 pm,	VEDL
01-12-2025 9:15 am,	BSE
01-12-2025 9:15 am,	CAMS
01-12-2025 9:15 am,	IRFC
01-12-2025 2:15 pm,	NTPC
02-12-2025 10:45 am,	KFINTECH
02-12-2025 3:15 pm,	FEDERALBNK
02-12-2025 3:15 pm,	WIPRO
03-12-2025 9:15 am,	WIPRO
03-12-2025 9:15 am,	PPLPHARMA
03-12-2025 3:15 pm,	BHARATFORG
04-12-2025 3:15 pm,	GAIL
05-12-2025 10:45 am,	PNBHOUSING
08-12-2025 9:15 am,	INFY
09-12-2025 2:00 pm,	LICI
09-12-2025 3:15 pm,	SBIN
10-12-2025 9:15 am,	IEX
10-12-2025 3:00 pm,	CHOLAFIN
11-12-2025 9:15 am,	NATIONALUM
12-12-2025 9:15 am,	INDIGO
12-12-2025 3:00 pm,	IOC
15-12-2025 9:15 am,	MCX
15-12-2025 9:15 am,	IDFCFIRSTB
15-12-2025 1:30 pm,	COLPAL
15-12-2025 2:45 pm,	IREDA
16-12-2025 3:15 pm,	M&M
17-12-2025 9:15 am,	SBIN
17-12-2025 9:15 am,	BSE
17-12-2025 9:15 am,	AUBANK
18-12-2025 12:15 pm,	LTF
18-12-2025 3:00 pm,	SHRIRAMFIN
19-12-2025 9:15 am,	SUZLON
19-12-2025 9:15 am,	IRFC
19-12-2025 3:00 pm,	ONGC
22-12-2025 2:15 pm,	HDFCBANK
23-12-2025 11:30 am,	EXIDEIND
23-12-2025 12:00 pm,	JSWSTEEL
24-12-2025 9:15 am,	VEDL
24-12-2025 9:15 am,	MCX
24-12-2025 9:15 am,	IEX
26-12-2025 9:15 am,	COALINDIA
29-12-2025 9:15 am,	TATASTEEL
29-12-2025 1:45 pm,	CANBK
30-12-2025 9:15 am,	PNBHOUSING
30-12-2025 3:15 pm,	ICICIBANK
30-12-2025 3:15 pm,	UNITDSPR
31-12-2025 12:45 pm,	ANGELONE
31-12-2025 2:45 pm,	JIOFIN
31-12-2025 3:15 pm,	RECLTD
02-01-2026 9:15 am,	M&M
02-01-2026 12:30 pm,	JUBLFOOD
02-01-2026 2:15 pm,	HUDCO
05-01-2026 12:45 pm,	GODREJCP
06-01-2026 9:15 am,	RBLBANK
06-01-2026 3:00 pm,	PATANJALI
07-01-2026 9:15 am,	PPLPHARMA
07-01-2026 9:15 am,	LAURUSLABS
07-01-2026 12:30 pm,	DABUR
07-01-2026 2:45 pm,	WAAREEENER
07-01-2026 3:15 pm,	PNBHOUSING
09-01-2026 2:45 pm,	DABUR
12-01-2026 2:30 pm,	NHPC
12-01-2026 3:15 pm,	MOTHERSON
13-01-2026 3:15 pm,	PFC
14-01-2026 9:15 am,	NMDC
16-01-2026 9:15 am,	HCLTECH
16-01-2026 9:15 am,	COFORGE
16-01-2026 9:30 am,	MARICO
16-01-2026 11:45 am,	CAMS
21-01-2026 3:00 pm,	DLF
21-01-2026 3:15 pm,	ICICIPRULI
22-01-2026 9:15 am,	PNB
22-01-2026 9:15 am,	GMRAIRPORT
22-01-2026 10:30 am,	TATAPOWER
22-01-2026 3:00 pm,	SAMMAANCAP
23-01-2026 9:15 am,	BPCL
23-01-2026 9:15 am,	PFC
27-01-2026 3:15 pm,	PPLPHARMA
27-01-2026 3:15 pm,	IREDA
28-01-2026 9:15 am,	BANDHANBNK
28-01-2026 3:15 pm,	NESTLEIND
29-01-2026 9:15 am,	HINDPETRO
29-01-2026 10:45 am,	HDFCLIFE
30-01-2026 3:00 pm,	RELIANCE
30-01-2026 3:15 pm,	SBILIFE
01-02-2026 3:15 pm,	CIPLA
02-02-2026 2:15 pm,	INDUSTOWER
03-02-2026 3:15 pm,	DELHIVERY
04-02-2026 3:15 pm,	HINDALCO
05-02-2026 1:00 pm,	INDHOTEL
10-02-2026 9:15 am,	JIOFIN
10-02-2026 9:15 am,	IRCTC
10-02-2026 2:45 pm,	GAIL
11-02-2026 9:15 am,	HINDPETRO
11-02-2026 2:00 pm,	IEX
12-02-2026 9:30 am,	SHRIRAMFIN
13-02-2026 12:00 pm,	MPHASIS
13-02-2026 2:45 pm,	PATANJALI
16-02-2026 9:30 am,	COALINDIA
17-02-2026 9:15 am,	RBLBANK
17-02-2026 3:15 pm,	NTPC
18-02-2026 9:15 am,	SAMMAANCAP
18-02-2026 11:45 am,	CDSL
18-02-2026 1:45 pm,	ICICIPRULI
18-02-2026 2:45 pm,	RVNL
24-02-2026 9:15 am,	HINDZINC
26-02-2026 9:15 am,	INDUSINDBK
27-02-2026 9:30 am,	OIL
27-02-2026 2:15 pm,	HINDPETRO
02-03-2026 3:00 pm,	SBILIFE
02-03-2026 3:15 pm,	POLICYBZR
05-03-2026 9:15 am,	BDL
05-03-2026 2:30 pm,	LTF
05-03-2026 2:45 pm,	PNB
05-03-2026 2:45 pm,	JUBLFOOD
05-03-2026 2:45 pm,	RBLBANK
05-03-2026 3:15 pm,	IDFCFIRSTB
06-03-2026 9:15 am,	MARICO
06-03-2026 9:15 am,	CANBK
06-03-2026 9:15 am,	CDSL
06-03-2026 9:15 am,	PAYTM
06-03-2026 3:15 pm,	MARICO
09-03-2026 11:00 am,	HCLTECH
09-03-2026 3:15 pm,	JUBLFOOD
10-03-2026 3:15 pm,	NATIONALUM
11-03-2026 9:15 am,	NHPC
11-03-2026 9:15 am,	GODREJPROP
13-03-2026 9:15 am,	IEX
13-03-2026 3:00 pm,	SWIGGY
16-03-2026 2:30 pm,	BANKINDIA
