2025-04-11T15:15 , Sell , INDIA VIX , 19.77
2025-04-22T10:15 , Buy , INDIA VIX , 15.35
2025-05-12T09:15 , Sell , INDIA VIX , 17.75
2025-05-16T11:15 , Buy , INDIA VIX , 16.57
2025-05-28T15:15 , Sell , INDIA VIX , 18.0
2025-06-10T12:15 , Buy , INDIA VIX , 14.05
2025-06-16T14:15 , Sell , INDIA VIX , 14.85
2025-07-22T12:15 , Buy , INDIA VIX , 10.84
2025-07-28T14:15 , Sell , INDIA VIX , 12.1
2025-08-08T11:15 , Buy , INDIA VIX , 11.92
2025-08-14T13:15 , Sell , INDIA VIX , 12.34
2025-08-21T15:15 , Buy , INDIA VIX , 11.4
2025-08-29T10:15 , Sell , INDIA VIX , 11.75
2025-09-17T09:15 , Buy , INDIA VIX , 10.17
2025-09-29T13:15 , Sell , INDIA VIX , 11.35
2025-10-06T15:15 , Buy , INDIA VIX , 10.22
2025-10-27T11:15 , Sell , INDIA VIX , 12.59
2025-10-31T13:15 , Buy , INDIA VIX , 12.13
2025-11-07T15:15 , Sell , INDIA VIX , 12.44
2025-12-03T09:15 , Buy , INDIA VIX , 11.13
2025-12-09T11:15 , Sell , INDIA VIX , 11.17
2026-01-01T09:15 , Buy , INDIA VIX , 9.28
2026-02-02T12:15 , Sell , INDIA VIX , 14.63
2026-02-13T09:15 , Buy , INDIA VIX , 12.25
2026-03-04T15:15 , Sell , INDIA VIX , 20.95
2026-03-11T10:15 , Buy , INDIA VIX , 19.9
2026-04-01T09:15 , Sell , INDIA VIX , 25.27
2026-04-21T15:15 , Buy , INDIA VIX , 17.57
[2m2026-04-26T19:54:00.469+05:30[0;39m [32m INFO[0;39m [35m32312[0;39m [2m--- [nio-8080-exec-1] [0;39m[36mc.p.monitor.service.RunSaiAlgoScan      [0;39m [2m:[0;39m [RunSaiAlgoScan] No daily candles returned for token 26000
2025-03-28T11:15 , Sell , NIFTY 50 , 23596.45
2025-04-11T15:15 , Buy , NIFTY 50 , 22844.5
2025-05-05T14:15 , Sell , NIFTY 50 , 24448.3
2025-05-12T09:15 , Buy , NIFTY 50 , 24682.65
2025-05-16T11:15 , Sell , NIFTY 50 , 24976.05
2025-05-22T13:15 , Buy , NIFTY 50 , 24529.8
2025-05-28T15:15 , Sell , NIFTY 50 , 24757.15
2025-06-04T10:15 , Buy , NIFTY 50 , 24581.55
2025-06-10T12:15 , Sell , NIFTY 50 , 25130.5
2025-06-16T14:15 , Buy , NIFTY 50 , 24950.7
2025-06-27T11:15 , Sell , NIFTY 50 , 25612.25
2025-08-08T11:15 , Buy , NIFTY 50 , 24423.05
2025-08-21T15:15 , Sell , NIFTY 50 , 25076.95
2025-08-29T10:15 , Buy , NIFTY 50 , 24556.45
2025-09-17T09:15 , Sell , NIFTY 50 , 25314.15
2025-09-29T13:15 , Buy , NIFTY 50 , 24723.85
2025-10-27T11:15 , Sell , NIFTY 50 , 25996.25
2025-11-07T15:15 , Buy , NIFTY 50 , 25510.05
2025-11-26T14:15 , Sell , NIFTY 50 , 26213.5
2025-12-09T11:15 , Buy , NIFTY 50 , 25892.15
2025-12-15T13:15 , Sell , NIFTY 50 , 26009.85
2025-12-19T15:15 , Buy , NIFTY 50 , 25961.4
2026-01-01T09:15 , Sell , NIFTY 50 , 26151.15
2026-01-20T15:15 , Buy , NIFTY 50 , 25225.35
2026-01-28T10:15 , Sell , NIFTY 50 , 25325.6
2026-02-02T12:15 , Buy , NIFTY 50 , 24935.2
2026-02-19T11:15 , Sell , NIFTY 50 , 25603.5
2026-04-01T09:15 , Buy , NIFTY 50 , 22868.85
2026-04-21T15:15 , Sell , NIFTY 50 , 24580.6
2025-04-04T13:15 , Sell , NIFTY BANK , 51617.5
2025-04-11T15:15 , Buy , NIFTY BANK , 51007.55
2025-04-22T10:15 , Sell , NIFTY BANK , 55906.7
2025-05-12T09:15 , Buy , NIFTY BANK , 55146.4
2025-05-16T11:15 , Sell , NIFTY BANK , 55263.05
2025-05-22T13:15 , Buy , NIFTY BANK , 54653.75
2025-06-10T12:15 , Sell , NIFTY BANK , 56688.35
2025-06-16T14:15 , Buy , NIFTY BANK , 55957.35
2025-06-27T11:15 , Sell , NIFTY BANK , 57352.45
2025-07-03T13:15 , Buy , NIFTY BANK , 56923.3
2025-07-09T15:15 , Sell , NIFTY BANK , 57171.6
2025-08-08T11:15 , Buy , NIFTY BANK , 55114.1
2025-08-21T15:15 , Sell , NIFTY BANK , 55733.9
2025-08-29T10:15 , Buy , NIFTY BANK , 53986.15
2025-09-23T11:15 , Sell , NIFTY BANK , 55317.9
2025-09-29T13:15 , Buy , NIFTY BANK , 54607.15
2025-10-27T11:15 , Sell , NIFTY BANK , 58161.3
2025-11-07T15:15 , Buy , NIFTY BANK , 57903.45
2025-11-26T14:15 , Sell , NIFTY BANK , 59538.0
2025-12-03T09:15 , Buy , NIFTY BANK , 59043.1
2025-12-15T13:15 , Sell , NIFTY BANK , 59436.8
2025-12-29T10:15 , Buy , NIFTY BANK , 58869.6
2026-01-07T11:15 , Sell , NIFTY BANK , 59906.8
2026-01-20T15:15 , Buy , NIFTY BANK , 59372.3
2026-01-28T10:15 , Sell , NIFTY BANK , 59568.85
2026-02-02T12:15 , Buy , NIFTY BANK , 58207.65
2026-02-19T11:15 , Sell , NIFTY BANK , 61069.8
2026-04-01T09:15 , Buy , NIFTY BANK , 51451.95
2026-04-21T15:15 , Sell , NIFTY BANK , 57351.8
